id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
12331935,1.99,0.94,0.51,3.21,0.86,2.83
12332051,2.03,1.12,0.66,3.39,0.64,2.8
12334789,2.48,1.87,1.39,4.11,0.16,2.7
12337767,2.59,3.76,4.05,2.56,5.01,7.35
12340551,2.85,2.62,3.09,0.78,4.36,5.69
12352555,1.7,1.04,0.59,3.25,0.77,3.17
12355209,2.85,4.11,4.04,4.66,4.18,6.82
12355911,3.18,3.39,3.85,1.12,5.11,6.69
12356421,2.03,1.03,0.58,3.3,0.77,2.79
12371958,1.34,1.18,0.85,3.16,1.1,3.65
12373247,3.9,2.51,2.52,3.85,2.89,2.34
12848625,1.6,0.63,1.09,1.75,2.34,3.95
12854224,2.27,1.96,1.52,4.11,0.61,3.17
12858429,0.73,0.72,0.81,2.32,1.81,4.09
12861579,2.34,1.59,1.12,3.85,0.16,2.64
12863712,1.82,1.17,0.71,3.38,0.64,3.09
12866743,3.2,2.0,1.67,4.13,1.3,1.63
12867754,0.15,1.25,1.39,2.21,2.29,4.67
12375972,2.43,2.92,3.36,0.86,4.58,6.44
12378302,3.18,2.18,1.76,4.42,0.91,1.73
12396367,1.83,1.91,1.54,3.84,1.13,3.76
12426419,3.37,2.04,1.84,3.97,1.81,1.7
12444046,0.65,1.83,1.83,2.8,2.38,4.94
12500607,1.83,1.39,1.86,0.98,3.13,4.68
12869509,3.02,2.96,2.53,5.02,1.51,3.62
12882199,3.42,2.08,1.89,3.98,1.89,1.69
12882521,1.38,0.62,1.09,1.65,2.36,4.11
12894713,1.38,0.62,1.09,1.65,2.36,4.11
12894714,0.59,1.93,1.99,2.62,2.65,5.18
12908145,1.59,1.32,0.93,3.39,0.88,3.46
12913113,2.48,1.17,1.4,2.4,2.39,3.3
12927834,0.3,1.67,1.84,2.16,2.7,5.11
12929522,0.85,2.0,1.97,2.99,2.43,5.02
12503523,2.04,1.42,0.95,3.64,0.39,2.95
12941605,1.91,1.91,1.53,3.89,1.04,3.66
12942430,2.05,1.96,1.55,3.99,0.91,3.51
